department,date,value
ATLANTICO,3/24/2019,0
BOGOTA,3/24/2019,0
BOLIVAR,3/24/2019,1
BOYACA,3/24/2019,0
CALDAS,3/24/2019,0
CAQUETA,3/24/2019,0
CASANARE,3/24/2019,0
CAUCA,3/24/2019,1
CESAR,3/24/2019,1
CHOCO,3/24/2019,0
CORDOBA,3/24/2019,0
CUNDINAMARCA,3/24/2019,0
GUAINIA,3/24/2019,0
GUAVIARE,3/24/2019,0
HUILA,3/24/2019,0
LA GUAJIRA,3/24/2019,0
MAGDALENA,3/24/2019,0
META,3/24/2019,1
NARIÑO,3/24/2019,0
NORTE SANTANDER,3/24/2019,0
PUTUMAYO,3/24/2019,0
RISARALDA,3/24/2019,0
SANTANDER,3/24/2019,0
SUCRE,3/24/2019,0
TOLIMA,3/24/2019,0
VALLE DEL CAUCA,3/24/2019,0
VAUPES,3/24/2019,0
VICHADA,3/24/2019,0
AMAZONAS,3/31/2019,0
ANTIOQUIA,3/31/2019,0
ARAUCA,3/31/2019,0
ATLANTICO,3/31/2019,0
BOGOTA,3/31/2019,1
BOLIVAR,3/31/2019,0
BOYACA,3/31/2019,0
CALDAS,3/31/2019,0
CAQUETA,3/31/2019,0
CASANARE,3/31/2019,0
CAUCA,3/31/2019,0
CESAR,3/31/2019,0
CHOCO,3/31/2019,1
CORDOBA,3/31/2019,0
CUNDINAMARCA,3/31/2019,0
GUAINIA,3/31/2019,0
GUAVIARE,3/31/2019,0
HUILA,3/31/2019,0
LA GUAJIRA,3/31/2019,1
MAGDALENA,3/31/2019,0
META,3/31/2019,0
NARIÑO,3/31/2019,1
NORTE SANTANDER,3/31/2019,0
PUTUMAYO,3/31/2019,0
RISARALDA,3/31/2019,0
SANTANDER,3/31/2019,0
SUCRE,3/31/2019,0
TOLIMA,3/31/2019,0
VALLE DEL CAUCA,3/31/2019,0
VAUPES,3/31/2019,0
VICHADA,3/31/2019,0
AMAZONAS,4/7/2019,0
ANTIOQUIA,4/7/2019,0
ARAUCA,4/7/2019,0
ATLANTICO,4/7/2019,0
BOGOTA,4/7/2019,0
BOLIVAR,4/7/2019,0
BOYACA,4/7/2019,0
CALDAS,4/7/2019,0
CAQUETA,4/7/2019,0
CASANARE,4/7/2019,0
CAUCA,4/7/2019,0
CESAR,4/7/2019,0
CHOCO,4/7/2019,0
CORDOBA,4/7/2019,1
CUNDINAMARCA,4/7/2019,0
GUAINIA,4/7/2019,0
GUAVIARE,4/7/2019,1
HUILA,4/7/2019,0
LA GUAJIRA,4/7/2019,0
