zone,date,year,month,week,value
ORINOQUIA,1/12/2020,2020,1,3,1
ORINOQUIA,1/19/2020,2020,1,4,0
ORINOQUIA,1/26/2020,2020,1,5,0
ORINOQUIA,2/2/2020,2020,2,6,0
ORINOQUIA,2/9/2020,2020,2,7,0
ORINOQUIA,2/16/2020,2020,2,8,2
PACIFICO,1/1/2018,2018,1,1,2
PACIFICO,1/7/2018,2018,1,2,3
PACIFICO,1/14/2018,2018,1,3,2
PACIFICO,1/21/2018,2018,1,4,4
PACIFICO,1/28/2018,2018,1,5,2
PACIFICO,2/4/2018,2018,2,6,3
PACIFICO,2/11/2018,2018,2,7,6
PACIFICO,2/18/2018,2018,2,8,1
PACIFICO,2/25/2018,2018,2,9,0
PACIFICO,3/4/2018,2018,3,10,3
PACIFICO,3/11/2018,2018,3,11,3
PACIFICO,3/18/2018,2018,3,12,1
PACIFICO,3/25/2018,2018,3,13,0
PACIFICO,4/1/2018,2018,4,14,1
PACIFICO,4/8/2018,2018,4,15,0
PACIFICO,4/15/2018,2018,4,16,2
PACIFICO,4/22/2018,2018,4,17,0
PACIFICO,4/29/2018,2018,4,18,0
PACIFICO,5/6/2018,2018,5,19,2
PACIFICO,5/13/2018,2018,5,20,1
PACIFICO,5/20/2018,2018,5,21,1
PACIFICO,5/27/2018,2018,5,22,1
PACIFICO,6/3/2018,2018,6,23,1
PACIFICO,6/10/2018,2018,6,24,1
PACIFICO,6/17/2018,2018,6,25,0
PACIFICO,6/24/2018,2018,6,26,2
PACIFICO,7/1/2018,2018,7,27,2
PACIFICO,7/8/2018,2018,7,28,0
PACIFICO,7/15/2018,2018,7,29,3
PACIFICO,7/22/2018,2018,7,30,2
PACIFICO,7/29/2018,2018,7,31,1
PACIFICO,8/5/2018,2018,8,32,2
PACIFICO,8/12/2018,2018,8,33,1
PACIFICO,8/19/2018,2018,8,34,0
PACIFICO,8/26/2018,2018,8,35,2
PACIFICO,9/2/2018,2018,9,36,6
PACIFICO,9/9/2018,2018,9,37,3
PACIFICO,9/16/2018,2018,9,38,2
PACIFICO,9/23/2018,2018,9,39,2
PACIFICO,9/30/2018,2018,9,40,2
PACIFICO,10/7/2018,2018,10,41,1
PACIFICO,10/14/2018,2018,10,42,3
PACIFICO,10/21/2018,2018,10,43,2
PACIFICO,10/28/2018,2018,10,44,2
PACIFICO,11/4/2018,2018,11,45,2
PACIFICO,11/11/2018,2018,11,46,0
PACIFICO,11/18/2018,2018,11,47,0
PACIFICO,11/25/2018,2018,11,48,3
PACIFICO,12/2/2018,2018,12,49,0
PACIFICO,12/9/2018,2018,12,50,0
PACIFICO,12/16/2018,2018,12,51,0
PACIFICO,12/23/2018,2018,12,52,2
PACIFICO,1/1/2019,2019,1,1,1
PACIFICO,1/6/2019,2019,1,2,3
PACIFICO,1/13/2019,2019,1,3,0
PACIFICO,1/20/2019,2019,1,4,1
PACIFICO,1/27/2019,2019,1,5,0
PACIFICO,2/3/2019,2019,2,6,0
PACIFICO,2/10/2019,2019,2,7,0
PACIFICO,2/17/2019,2019,2,8,2
PACIFICO,2/24/2019,2019,2,9,1
PACIFICO,3/3/2019,2019,3,10,2
PACIFICO,3/10/2019,2019,3,11,1
PACIFICO,3/17/2019,2019,3,12,0
PACIFICO,3/24/2019,2019,3,13,1
PACIFICO,3/31/2019,2019,3,14,2
PACIFICO,4/7/2019,2019,4,15,0
PACIFICO,4/14/2019,2019,4,16,0
PACIFICO,4/21/2019,2019,4,17,0
PACIFICO,4/28/2019,2019,4,18,0
