Date,AMAZONAS,ANTIOQUIA,ARAUCA,ATLANTICO,BOGOTA,BOLIVAR,BOYACA,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCO,CORDOBA,CUNDINAMARCA,GUAINIA,GUAVIARE,HUILA,LA GUAJIRA,MAGDALENA,META,NARIÑO,NORTE SANTANDER,PUTUMAYO,QUINDIO,RISARALDA,SAN ANDRES,SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,VAUPES,VICHADA
2/11/2018,3,19,1,10,25,12,3,5,3,0,8,5,4,14,5,0,0,9,7,5,4,8,6,2,1,2,0,8,2,6,20,0,1
2/18/2018,0,21,1,12,22,12,2,4,1,3,7,8,3,6,10,0,0,3,6,10,4,1,4,2,0,3,1,7,7,8,16,0,1
2/25/2018,0,27,0,8,23,22,2,2,2,0,6,7,5,10,7,0,1,7,5,5,4,7,3,1,0,8,1,7,3,6,17,0,0
3/4/2018,0,22,2,16,30,10,4,2,2,3,7,5,4,15,11,0,0,4,8,8,4,14,2,1,3,1,1,11,4,4,19,2,0
3/11/2018,0,16,1,14,22,14,2,0,0,0,7,6,1,18,8,0,0,6,3,9,2,6,5,1,2,4,0,8,4,5,22,0,3
3/18/2018,2,17,4,12,25,11,5,1,0,3,7,8,7,13,4,0,0,4,3,6,2,7,3,0,3,1,0,5,3,7,14,0,1
3/25/2018,1,16,1,17,22,7,3,2,1,1,9,8,3,11,7,0,0,2,4,7,3,3,4,1,0,2,1,4,6,3,17,0,1
4/1/2018,1,21,1,15,22,7,6,1,0,0,6,5,3,16,12,1,1,9,7,4,4,9,6,2,1,2,2,5,3,5,7,0,2
4/8/2018,0,24,0,8,23,8,8,1,2,1,7,7,5,8,10,0,0,4,5,1,7,6,2,2,1,3,1,7,2,2,10,0,1
4/15/2018,2,33,0,17,27,9,4,2,0,1,8,5,1,8,10,1,0,8,10,6,1,5,5,2,1,1,0,1,2,12,17,0,3
4/22/2018,5,32,2,7,32,9,3,3,1,0,7,9,2,5,6,0,0,4,7,5,5,5,3,0,4,3,0,5,6,3,17,0,1
4/29/2018,1,19,2,11,21,12,3,3,3,1,3,6,3,11,12,0,0,6,3,7,1,4,4,0,2,3,0,7,6,5,17,1,0
5/6/2018,0,25,2,11,21,10,3,2,0,2,6,13,1,19,8,0,0,4,7,9,1,5,7,2,2,0,0,11,7,2,9,0,0
