exec_date,date,entity,year,period,value,forecast,ci_inf,ci_sup
2020-11-13 13:00:22.845705,2017-03-26,76000,2017.0,4.0,23042,,,
2020-11-13 13:00:22.845705,2017-03-26,76001,2017.0,4.0,14997,,,
2020-11-13 13:00:22.845705,2017-03-26,81000,2017.0,4.0,764,,,
2020-11-13 13:00:22.845705,2017-03-26,81001,2017.0,4.0,157,,,
2020-11-13 13:00:22.845705,2017-03-26,85000,2017.0,4.0,979,,,
2020-11-13 13:00:22.845705,2017-03-26,85001,2017.0,4.0,416,,,
2020-11-13 13:00:22.845705,2017-03-26,86000,2017.0,4.0,1197,,,
2020-11-13 13:00:22.845705,2017-03-26,86001,2017.0,4.0,213,,,
2020-11-13 13:00:22.845705,2017-03-26,88000,2017.0,4.0,317,,,
2020-11-13 13:00:22.845705,2017-03-26,88001,2017.0,4.0,307,,,
2020-11-13 13:00:22.845705,2017-03-26,91000,2017.0,4.0,396,,,
2020-11-13 13:00:22.845705,2017-03-26,91001,2017.0,4.0,309,,,
2020-11-13 13:00:22.845705,2017-03-26,94000,2017.0,4.0,122,,,
2020-11-13 13:00:22.845705,2017-03-26,94001,2017.0,4.0,120,,,
2020-11-13 13:00:22.845705,2017-03-26,95000,2017.0,4.0,299,,,
2020-11-13 13:00:22.845705,2017-03-26,95001,2017.0,4.0,212,,,
2020-11-13 13:00:22.845705,2017-03-26,97000,2017.0,4.0,52,,,
2020-11-13 13:00:22.845705,2017-03-26,97001,2017.0,4.0,35,,,
2020-11-13 13:00:22.845705,2017-03-26,99000,2017.0,4.0,151,,,
2020-11-13 13:00:22.845705,2017-03-26,99001,2017.0,4.0,79,,,
2020-11-13 13:00:22.845705,2017-04-23,00000,2017.0,5.0,247005,,,
2020-11-13 13:00:22.845705,2017-04-23,05000,2017.0,5.0,37517,,,
2020-11-13 13:00:22.845705,2017-04-23,05001,2017.0,5.0,20280,,,
2020-11-13 13:00:22.845705,2017-04-23,08000,2017.0,5.0,12785,,,
2020-11-13 13:00:22.845705,2017-04-23,08001,2017.0,5.0,7675,,,
2020-11-13 13:00:22.845705,2017-04-23,11001,2017.0,5.0,64782,,,
2020-11-13 13:00:22.845705,2017-04-23,13000,2017.0,5.0,6246,,,
2020-11-13 13:00:22.845705,2017-04-23,13001,2017.0,5.0,3250,,,
2020-11-13 13:00:22.845705,2017-04-23,15000,2017.0,5.0,4817,,,
2020-11-13 13:00:22.845705,2017-04-23,15001,2017.0,5.0,940,,,
2020-11-13 13:00:22.845705,2017-04-23,17000,2017.0,5.0,3237,,,
2020-11-13 13:00:22.845705,2017-04-23,17001,2017.0,5.0,2266,,,
2020-11-13 13:00:22.845705,2017-04-23,18000,2017.0,5.0,1957,,,
2020-11-13 13:00:22.845705,2017-04-23,18001,2017.0,5.0,1320,,,
2020-11-13 13:00:22.845705,2017-04-23,19000,2017.0,5.0,4837,,,
2020-11-13 13:00:22.845705,2017-04-23,19001,2017.0,5.0,1131,,,
2020-11-13 13:00:22.845705,2017-04-23,20000,2017.0,5.0,4950,,,
2020-11-13 13:00:22.845705,2017-04-23,20001,2017.0,5.0,3062,,,
2020-11-13 13:00:22.845705,2017-04-23,23000,2017.0,5.0,4927,,,
2020-11-13 13:00:22.845705,2017-04-23,23001,2017.0,5.0,1378,,,
2020-11-13 13:00:22.845705,2017-04-23,25000,2017.0,5.0,12119,,,
2020-11-13 13:00:22.845705,2017-04-23,27000,2017.0,5.0,886,,,
2020-11-13 13:00:22.845705,2017-04-23,27001,2017.0,5.0,460,,,
2020-11-13 13:00:22.845705,2017-04-23,41000,2017.0,5.0,4879,,,
2020-11-13 13:00:22.845705,2017-04-23,41001,2017.0,5.0,2080,,,
2020-11-13 13:00:22.845705,2017-04-23,44000,2017.0,5.0,4487,,,
2020-11-13 13:00:22.845705,2017-04-23,44001,2017.0,5.0,1576,,,
2020-11-13 13:00:22.845705,2017-04-23,47000,2017.0,5.0,4763,,,
2020-11-13 13:00:22.845705,2017-04-23,47001,2017.0,5.0,1132,,,
2020-11-13 13:00:22.845705,2017-04-23,50000,2017.0,5.0,4887,,,
2020-11-13 13:00:22.845705,2017-04-23,50001,2017.0,5.0,3676,,,
