entity,year,1,2,3,4,5,6,7,8,9,10,11,12,13
CAUCA,2012,3730,4175,3821,3072,3650,3655,3689,5567,5311,3706,4913,4941,3670
CESAR,2012,1557,1861,1344,1764,4114,2682,1990,1799,1548,1945,2271,2028,1951
CHOCO,2012,201,289,241,497,341,352,480,439,301,356,327,215,366
CORDOBA,2012,2040,3334,3531,3504,1877,6940,4466,3658,2442,3808,4017,4156,3280
CUNDINAMARCA,2012,4385,3735,5769,5365,6329,4855,4644,6905,5719,7930,7658,7426,5986
FLORENCIA,2012,827,647,715,776,1650,953,1028,1172,1237,1354,1586,1555,2262
GUAINIA,2012,2,17,13,7,7,8,1,2,3,8,6,,12
GUAVIARE,2012,80,175,119,141,135,79,78,78,73,79,92,104,90
HUILA,2012,1557,3903,2708,2792,2800,2610,1867,2610,2552,2845,3196,3394,2855
IBAGUE,2012,6669,1563,1605,1500,1630,1192,3942,4372,1937,2132,9989,8361,2682
PUERTO INIRIDA,2012,116,164,111,152,83,98,106,128,110,149,157,133,200
LA GUAJIRA,2012,979,1237,1986,1661,2412,2223,1319,1916,1868,2285,2602,2815,2182
LETICIA,2012,169,180,210,365,344,435,362,419,377,374,345,325,235
MAGDALENA,2012,3098,2386,2610,2715,3587,3374,2348,3072,2885,2950,2534,2961,2148
MANIZALES,2012,1877,1678,2414,2296,2487,1986,2124,2357,3552,2700,3060,2658,2417
MEDELLIN,2012,16760,9867,12719,13172,12266,12645,14580,16978,20119,17823,15053,12063,6316
META,2012,1272,285,2462,1796,2067,1744,1106,1406,1530,1476,1384,885,1159
MITU,2012,153,247,157,130,114,155,120,150,116,149,74,62,30
MOCOA,2012,42,199,212,235,115,138,107,167,192,177,238,344,294
MONTERIA,2012,1222,1485,960,1280,680,2506,1156,1328,1095,1964,1475,1314,1111
NARIÑO,2012,1677,4288,4622,4771,4805,4248,3429,4787,5360,5584,5249,5287,3929
NEIVA,2012,648,1705,1180,1055,1005,931,851,1261,1202,1156,1167,1309,1455
NORTE DE SANTANDER,2012,1308,2213,1677,1609,1793,2073,1420,1984,2198,2396,1893,1797,1604
PASTO,2012,862,2139,2000,1997,2589,2607,2278,3007,2908,2399,2462,2595,2208
PEREIRA,2012,1793,2199,1159,1333,1737,1362,785,1628,1880,2451,2178,2000,1399
POPAYAN,2012,578,529,480,886,597,494,716,860,947,655,771,775,515
PUERTO CARREÑO,2012,33,23,59,43,73,23,11,14,18,17,20,8,4
PUTUMAYO,2012,250,760,792,755,579,784,670,1070,780,1029,980,1211,1177
QUIBDO,2012,202,147,106,266,123,155,437,224,276,351,348,184,265
QUINDIO,2012,734,1032,1307,1337,1760,1269,919,1263,1515,1853,1483,1166,984
RIOHACHA,2012,620,387,622,1121,1825,2100,1683,2253,2654,3222,3423,4133,3386
RISARALDA,2012,713,1742,1127,1095,1898,1440,839,1412,1652,2149,1569,1388,1026
SAN ANDRES,2012,3,7,,,7,12,22,7,35,9,2,1,
SAN ANDRES CAP,2012,273,221,69,121,165,173,97,132,141,179,220,233,373
CUCUTA,2012,1632,3611,2772,2283,2595,3016,2336,3246,3351,3115,3348,3125,3084
SAN JOSE DEL GUAVIARE,2012,185,269,266,188,203,266,127,226,208,253,293,238,270
SANTA MARTA,2012,372,643,782,1095,1972,1825,1844,1927,1645,1707,2194,1858,1116
SANTANDER,2012,2861,4572,3621,3983,4423,3060,3165,3505,3738,4820,4081,5180,3445
SINCELEJO,2012,1050,1247,734,1155,1431,1087,1491,1196,1007,1247,1574,993,956
SUCRE,2012,1409,1841,867,1324,1525,1677,1801,1509,1427,1505,1496,1352,1329
TOLIMA,2012,1960,2952,3771,2034,2878,1785,2554,2165,2596,2836,2425,2860,2900
TUNJA,2012,415,851,568,1002,1031,804,946,873,1193,840,1070,1112,829
VALLE DEL CAUCA,2012,8498,7732,10096,7732,6333,8612,9071,9409,11182,11288,10311,9324,8879
VALLEDUPAR,2012,2797,3672,2916,2793,4975,4195,3697,6800,1653,2280,1493,1305,1108
VAUPES,2012,31,46,33,1,14,45,37,68,46,58,75,70,17
VICHADA,2012,13,136,63,94,47,133,68,66,86,93,40,27,17
VILLAVICENCIO,2012,2729,2068,3693,3721,3648,4139,11966,3908,2849,3452,2846,3145,2896
YOPAL,2012,377,272,429,353,490,444,387,430,423,323,451,428,467
AMAZONAS,2013,,651,66,,,,,,,,,,2225
ANTIOQUIA,2013,94437,103805,,,,,,,,,,,4
ARAUCA,2013,,,,,,,,,,,,,7589
ARAUCA CAP,2013,,,,,,,,,,,,,2551
ARMENIA,2013,,4,,,,,,,,24108,,,
ATLANTICO,2013,,37660,895,,,,,,,,,,17
BARRANQUILLA,2013,,13731,55071,,,,,,1,,,,163
BOGOTA DC,2013,190,11,365937,340929,,,7,4,,,47,86,3
BOLIVAR,2013,,2,,9348,25472,,,,,41,,,
BOYACA,2013,2,5,11,1,20773,23989,,,,,,,3
BUCARAMANGA,2013,,,,,,,,,,,29593,,
CALDAS,2013,,11,,,,15551,1,,,,,,
CALI,2013,,,,,,33,,,,,,166886,260
CAQUETA,2013,,,,,,9981,,,,,,,
CARTAGENA,2013,1,50,,233,55368,283,,,,,,,
CASANARE,2013,,,,,,,,,,,,,8397
CAUCA,2013,40,,,,,41808,7781,,,,,,14
CESAR,2013,,,,,,,25474,,,,,,
CHOCO,2013,,,,,,25,,5489,,,,,
CORDOBA,2013,,25,,,,,47372,,,,,,
CUNDINAMARCA,2013,,23,,,,,58478,44236,,,,,2
FLORENCIA,2013,,,,,,17076,,,,,,,
GUAINIA,2013,,,,,,,,,,,,,149
GUAVIARE,2013,,,,,,,,,,,,,1433
HUILA,2013,,,,,,,,40385,,,,,
IBAGUE,2013,,,,,,,,,,,31716,4005,
PUERTO INIRIDA,2013,,,,,,,,,,,,,1606
LA GUAJIRA,2013,,,,,,,,22148,4273,,,,
LETICIA,2013,42,,,,,,,,,,,,5756
MAGDALENA,2013,,,,,,,,,31459,,,,
MANIZALES,2013,,,,,,32152,,,,,,,
MEDELLIN,2013,188032,290,,,,,,,,,,,
META,2013,,,,,,,,,19304,,,,6
MITU,2013,,,,,,,,,,,,,753
MOCOA,2013,,,,,,,,,,,,,2566
MONTERIA,2013,,,,,14,,17847,,,,,,
NARIÑO,2013,,20,,,,,,,30458,32161,,,
NEIVA,2013,,,,,,,,19147,,,,,
NORTE DE SANTANDER,2013,,,,,,,,,,20289,,,
PASTO,2013,,,,,,,,,34762,30,,,
PEREIRA,2013,,,,,,33,,,,23950,109,,
POPAYAN,2013,,,,,,11679,2,,,,,,
PUERTO CARREÑO,2013,,,,,,,,,,,,,406
PUTUMAYO,2013,,,,,,,,,,,,,11328
QUIBDO,2013,,,,,,,,6291,,,,,
QUINDIO,2013,,,,,,,,,,17337,,,1
RIOHACHA,2013,,,,,,,,14609,13,,,,
RISARALDA,2013,,,,,,,,,,17599,1044,,
SAN ANDRES,2013,,,,,,,,,,,,,104
SAN ANDRES CAP,2013,,,,,,,,,,,,,4193
CUCUTA,2013,1,,,,,,,,,44038,,,
SAN JOSE DEL GUAVIARE,2013,,,,,,7,,,,,,,2978
SANTA MARTA,2013,,,,,,,,,13805,,,,
SANTANDER,2013,,,2,,,3,,,,1,44920,5,2
SINCELEJO,2013,,,,,,,,,,,16354,,
SUCRE,2013,,,,,,,,,,,20516,,
TOLIMA,2013,6,,,,,,,,,,,29980,
TUNJA,2013,,,,,12239,31,,,,,,,
VALLE DEL CAUCA,2013,,1,,,,,,,,1,,53493,59939
VALLEDUPAR,2013,,,,,,,28359,,,,,,
VAUPES,2013,,,,,,,,,,,,,461
VICHADA,2013,4,,,,,,,,,,,,562
VILLAVICENCIO,2013,,1,,,,,,,50744,,,,
YOPAL,2013,,,,,,,,,,,,,6651
