department,date,value
SUCRE,9/1/2019,5
TOLIMA,9/1/2019,5
VALLE DEL CAUCA,9/1/2019,12
VAUPES,9/1/2019,2
VICHADA,9/1/2019,0
AMAZONAS,9/8/2019,0
ANTIOQUIA,9/8/2019,18
ARAUCA,9/8/2019,3
ATLANTICO,9/8/2019,15
BOGOTA,9/8/2019,17
BOLIVAR,9/8/2019,11
BOYACA,9/8/2019,6
CALDAS,9/8/2019,0
CAQUETA,9/8/2019,1
CASANARE,9/8/2019,1
CAUCA,9/8/2019,5
CESAR,9/8/2019,4
CHOCO,9/8/2019,3
CORDOBA,9/8/2019,8
CUNDINAMARCA,9/8/2019,6
GUAINIA,9/8/2019,0
GUAVIARE,9/8/2019,0
HUILA,9/8/2019,5
LA GUAJIRA,9/8/2019,10
MAGDALENA,9/8/2019,10
META,9/8/2019,4
NARIÑO,9/8/2019,11
NORTE SANTANDER,9/8/2019,6
PUTUMAYO,9/8/2019,0
QUINDIO,9/8/2019,3
RISARALDA,9/8/2019,2
SAN ANDRES,9/8/2019,0
SANTANDER,9/8/2019,6
SUCRE,9/8/2019,7
TOLIMA,9/8/2019,6
VALLE DEL CAUCA,9/8/2019,22
VAUPES,9/8/2019,1
VICHADA,9/8/2019,0
AMAZONAS,9/15/2019,0
ANTIOQUIA,9/15/2019,24
ARAUCA,9/15/2019,3
ATLANTICO,9/15/2019,14
BOGOTA,9/15/2019,33
BOLIVAR,9/15/2019,13
BOYACA,9/15/2019,2
CALDAS,9/15/2019,1
CAQUETA,9/15/2019,3
CASANARE,9/15/2019,0
CAUCA,9/15/2019,3
CESAR,9/15/2019,5
CHOCO,9/15/2019,5
CORDOBA,9/15/2019,10
CUNDINAMARCA,9/15/2019,5
GUAINIA,9/15/2019,0
GUAVIARE,9/15/2019,0
HUILA,9/15/2019,2
LA GUAJIRA,9/15/2019,16
MAGDALENA,9/15/2019,10
META,9/15/2019,2
NARIÑO,9/15/2019,4
NORTE SANTANDER,9/15/2019,3
